Initial Model - Profile Train (num_workers=0, batch_size=64)

Time:
===============
Overall Time: 207.61137533299998s
	Total train Time: 20.929855869000008s
	Total validation Time: 5.792422294000005s
	Total test Time: 1.285886349000009s
	Train Time per epoch: 20.929855869000008s
	Validation per epoch: 5.792422294000005s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                             aten::view         0.01%       2.940ms         0.01%       2.940ms       1.654us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1778  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      26.344ms         0.11%      26.344ms      29.633us           0 b           0 b           0 b           0 b           889  
                                          aten::random_         0.01%       3.305ms         0.01%       3.330ms     666.000us       6.000us         0.00%       6.000us       1.200us           0 b           0 b           0 b           0 b             5  
                                             aten::item         0.15%      45.432ms        12.65%        3.829s     135.673us       0.000us         0.00%     278.849ms       9.880us           0 b           0 b           0 b           0 b         28223  
                              aten::_local_scalar_dense         0.30%      91.168ms        12.55%        3.798s     134.582us      22.106ms         0.09%     279.655ms       9.909us           0 b           0 b           0 b           0 b         28223  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us     -41.90 Mb     -41.90 Mb      -2.99 Gb      -2.99 Gb         29843  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.60%     180.480ms         1.35%     409.264ms       1.222ms       0.000us         0.00%       0.000us       0.000us      41.67 Mb    -332.05 Kb           0 b           0 b           335  
                                         aten::randperm         0.00%     991.000us         0.01%       2.038ms     254.750us       0.000us         0.00%       0.000us       0.000us     332.03 Kb         -32 b           0 b           0 b             8  
                                    aten::scalar_tensor         0.00%      30.000us         0.00%      30.000us       7.500us       0.000us         0.00%       0.000us       0.000us          32 b          32 b           0 b           0 b             4  
                                          aten::resize_         0.02%       7.151ms         0.02%       7.151ms       2.277us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.22 Gb       5.22 Gb          3140  
                                     aten::resolve_conj         0.00%       2.000us         0.00%       2.000us       0.500us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                           aten::select         0.53%     161.327ms         0.56%     169.379ms       2.450us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         69133  
                                       aten::as_strided         0.06%      17.045ms         0.06%      17.045ms       0.167us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b        101895  
                                            aten::stack         0.14%      42.735ms         0.46%     139.924ms     148.855us       0.000us         0.00%       1.722ms       1.832us      41.67 Mb           0 b     137.00 Kb           0 b           940  
                                              aten::cat         0.17%      52.717ms         0.21%      62.189ms      66.159us       1.646ms         0.01%       1.722ms       1.832us      41.67 Mb      41.67 Mb     137.00 Kb     137.00 Kb           940  
                                           aten::narrow         0.01%       2.652ms         0.02%       5.778ms       8.676us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           666  
                                            aten::slice         0.04%      10.938ms         0.04%      12.218ms       6.499us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1880  
                                        aten::unsqueeze         0.11%      33.589ms         0.12%      36.458ms       1.486us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         24538  
                     Optimizer.zero_grad#Adam.zero_grad         0.06%      16.912ms         0.06%      16.912ms      61.723us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -35.32 Gb     -35.32 Gb           274  
                                        aten::embedding         0.04%      11.987ms         0.19%      57.924ms     173.946us       0.000us         0.00%      18.894ms      56.739us           0 b           0 b       5.19 Gb           0 b           333  
                                          aten::reshape         0.01%       3.359ms         0.01%       4.184ms      12.565us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           333  
                                   aten::_reshape_alias         0.00%     833.000us         0.00%     833.000us       2.502us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           333  
                                     aten::index_select         0.08%      25.479ms         0.14%      41.097ms     123.414us      18.869ms         0.08%      18.894ms      56.739us           0 b           0 b       5.19 Gb           0 b           333  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      18.869ms         0.08%      18.869ms      56.664us           0 b           0 b           0 b           0 b           333  
                                             aten::lstm         0.10%      29.793ms        12.10%        3.665s      11.005ms       0.000us         0.00%       11.998s      36.029ms           0 b           0 b     105.07 Gb        -512 b           333  
                              aten::cudnn_is_acceptable         0.01%       1.626ms         0.01%       1.626ms       4.883us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           333  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       6.000us         0.00%       6.000us       6.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     110.930ms         0.45%     110.930ms       4.937us           0 b           0 b           0 b           0 b         22469  
                        aten::_cudnn_init_dropout_state         0.00%     124.000us         0.00%     156.000us     156.000us     591.000us         0.00%     591.000us     591.000us           0 b           0 b       4.00 Mb           0 b             1  
cudnn::initstates(unsigned long long, curandStateXOR...         0.00%       0.000us         0.00%       0.000us       0.000us     591.000us         0.00%     591.000us     591.000us           0 b           0 b           0 b           0 b             1  
                               cudaStreamGetCaptureInfo         0.00%       1.011ms         0.00%       1.011ms       1.518us      52.100ms         0.21%      52.100ms      78.228us           0 b           0 b           0 b           0 b           666  
                                       aten::_cudnn_rnn         6.63%        2.008s        11.95%        3.618s      10.864ms        8.746s        35.54%       11.944s      35.868ms           0 b           0 b     105.07 Gb     -65.75 Gb           333  
                                        aten::transpose         0.03%       9.193ms         0.04%      12.217ms       3.901us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          3132  
                                       aten::contiguous         0.02%       5.671ms         0.21%      64.084ms      44.845us       0.000us         0.00%      69.122ms      48.371us           0 b           0 b      26.55 Gb       2.08 Gb          1429  
                                            aten::clone         0.03%       8.031ms         0.20%      61.117ms      42.769us       0.000us         0.00%      72.175ms      50.507us           0 b           0 b      26.55 Gb    -848.00 Mb          1429  
                                       aten::empty_like         0.05%      15.844ms         0.15%      44.623ms       9.187us       0.000us         0.00%       0.000us       0.000us      20.75 Kb       3.31 Kb      27.12 Gb     862.54 Mb          4857  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      77.665ms         0.32%      77.665ms      38.146us           0 b           0 b           0 b           0 b          2036  
                                    cudaStreamWaitEvent         0.08%      24.829ms         0.08%      24.829ms       0.122us        1.234s         5.02%        1.234s       6.080us           0 b           0 b           0 b           0 b        203011  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.06%      19.222ms         0.06%      19.222ms       0.102us        1.325s         5.38%        1.325s       7.015us           0 b           0 b           0 b           0 b        188936  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.488s         6.04%        1.488s     279.649us           0 b           0 b           0 b           0 b          5320  
                         volta_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        5.836s        23.71%        5.836s      34.335us           0 b           0 b           0 b           0 b        169984  
void elemWiseRNNcell<float, float, float, (cudnnRNNM...         0.00%       0.000us         0.00%       0.000us       0.000us        1.343s         5.46%        1.343s       7.879us           0 b           0 b           0 b           0 b        170496  
