Optimized Model 1 - Profile Train (num_workers=0, batch_size=128)

Time:
===============
Overall Time: 148.542382768s
	Total train Time: 31.317121920999995s
	Total validation Time: 2.7058704049999847s
	Total test Time: 2.316272055000013s
	Train Time per epoch: 31.317121920999995s
	Validation per epoch: 2.7058704049999847s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          aten::view_as         0.00%      23.000us         0.00%      29.000us       1.812us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                             aten::view         0.00%       1.361ms         0.00%       1.361ms       1.516us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           898  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      75.157ms         0.13%      75.157ms     167.388us           0 b           0 b           0 b           0 b           449  
                                          aten::random_         0.01%       3.241ms         0.01%       3.260ms     652.000us       5.000us         0.00%       5.000us       1.000us           0 b           0 b           0 b           0 b             5  
                                             aten::item        -0.82%  -355600.000us        24.75%       10.676s     431.547us       0.000us         0.00%     425.685ms      17.206us           0 b           0 b           0 b           0 b         24740  
                              aten::_local_scalar_dense        19.39%        8.364s        24.69%       10.650s     430.485us      21.712ms         0.04%     697.624ms      28.198us           0 b           0 b           0 b           0 b         24740  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us    -238.27 Kb    -238.27 Kb      -2.99 Gb      -2.99 Gb         18306  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.37%     159.083ms         0.90%     387.588ms       2.293ms       0.000us         0.00%      25.000us       0.148us           0 b     -41.99 Mb           0 b           0 b           169  
                                         aten::randperm         0.00%     913.000us         0.00%       1.884ms     235.500us       0.000us         0.00%       0.000us       0.000us     332.03 Kb         -32 b           0 b           0 b             8  
                                    aten::scalar_tensor         0.00%      20.000us         0.00%      20.000us       5.000us       0.000us         0.00%       0.000us       0.000us          32 b          32 b           0 b           0 b             4  
                                          aten::resize_         0.01%       3.123ms         0.01%       3.397ms       2.157us       0.000us         0.00%       0.000us       0.000us           0 b           0 b       5.22 Gb       5.22 Gb          1575  
                                     aten::resolve_conj         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                      aten::resolve_neg         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b             4  
                                           aten::select         0.34%     146.203ms         0.35%     152.263ms       2.292us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         66443  
                                       aten::as_strided         0.03%      11.286ms         0.03%      11.286ms       0.121us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         93456  
                                            aten::stack         0.09%      37.593ms         0.27%     115.026ms     244.217us       0.000us         0.00%       1.443ms       3.064us      41.67 Mb           0 b      68.50 Kb      -2.50 Kb           471  
                                              aten::cat         0.10%      41.570ms         0.11%      46.117ms      97.913us       1.438ms         0.00%       1.442ms       3.062us      41.67 Mb      41.67 Mb      68.50 Kb      40.00 Kb           471  
                                           aten::narrow         0.00%       1.488ms         0.01%       3.008ms       9.006us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           334  
                                            aten::slice         0.01%       5.854ms         0.01%       6.404ms       6.798us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           942  
                                        aten::unsqueeze         0.07%      29.384ms         0.07%      31.675ms       1.384us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         22894  
                                       aten::pin_memory         0.00%       1.578ms         0.04%      16.992ms      50.874us       0.000us         0.00%      20.000us       0.060us           0 b           0 b           0 b           0 b           334  
                                        aten::is_pinned         0.01%       4.364ms         0.01%       5.230ms      15.659us       0.000us         0.00%       3.000us       0.009us           0 b           0 b           0 b           0 b           334  
                               cudaPointerGetAttributes         0.00%       1.727ms         0.00%       1.727ms       5.171us      24.000us         0.00%      24.000us       0.072us           0 b           0 b           0 b           0 b           334  
                                      aten::_pin_memory         0.01%       3.308ms         0.02%      10.307ms      30.859us       0.000us         0.00%      14.000us       0.042us           0 b           0 b           0 b           0 b           334  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.132ms         0.01%       4.132ms      12.371us           0 b           0 b           0 b           0 b           334  
                     Optimizer.zero_grad#Adam.zero_grad         0.02%       7.119ms         0.02%       7.119ms      51.964us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -17.60 Gb     -17.60 Gb           137  
                                        aten::embedding         0.02%       8.485ms         0.08%      33.031ms     197.790us       0.000us         0.00%      56.012ms     335.401us           0 b           0 b       5.19 Gb           0 b           167  
                                          aten::reshape         0.00%       1.352ms         0.00%       1.694ms      10.144us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                   aten::_reshape_alias         0.00%     348.000us         0.00%     348.000us       2.084us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                     aten::index_select         0.04%      17.344ms         0.05%      22.629ms     135.503us      56.002ms         0.09%      56.012ms     335.401us           0 b           0 b       5.19 Gb    -896.00 Mb           167  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      56.002ms         0.09%      56.002ms     335.341us           0 b           0 b           0 b           0 b           167  
                                             aten::lstm         0.03%      13.474ms         4.84%        2.090s      12.512ms       0.000us         0.00%       24.635s     147.518ms           0 b           0 b     104.80 Gb        -512 b           167  
                              aten::cudnn_is_acceptable         0.00%     272.000us         0.00%     282.000us       1.689us       0.000us         0.00%       4.000us       0.024us           0 b           0 b           0 b           0 b           167  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us       5.000us         0.00%       5.000us       5.000us           0 b           0 b           0 b           0 b             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     108.030ms         0.18%     108.030ms       4.941us           0 b           0 b           0 b           0 b         21863  
                        aten::_cudnn_init_dropout_state         0.00%     147.000us         0.00%     356.000us     356.000us     817.000us         0.00%     817.000us     817.000us           0 b           0 b     960.00 Kb           0 b             1  
cudnn::initstates(unsigned long long, curandStateXOR...         0.00%       0.000us         0.00%       0.000us       0.000us     817.000us         0.00%     817.000us     817.000us           0 b           0 b           0 b           0 b             1  
                               cudaStreamGetCaptureInfo         0.00%     415.000us         0.00%     415.000us       1.243us     296.000us         0.00%     296.000us       0.886us           0 b           0 b    -192.00 Mb    -192.00 Mb           334  
                                       aten::_cudnn_rnn         2.71%        1.170s         4.79%        2.067s      12.374ms       18.823s        31.40%       24.634s     147.511ms           0 b           0 b     104.80 Gb     -60.71 Gb           167  
                                        aten::transpose         0.01%       4.129ms         0.01%       5.447ms       3.476us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1567  
                                       aten::contiguous         0.01%       2.498ms         0.07%      29.549ms      41.327us       0.000us         0.00%     224.197ms     313.562us           0 b           0 b      26.55 Gb     992.00 Mb           715  
