Optimized Model 2 - Profile Train (num_workers=0, batch_size=128, pruning)

Time:
===============
Overall Time: 130.47057920400016s
	Total train Time: 14.9970645410001s
	Total validation Time: 1.6051469620001626s
	Total test Time: 1.045002944999851s
	Train Time per epoch: 14.9970645410001s
	Validation per epoch: 1.6051469620001626s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           aten::select         0.97%     150.531ms         1.02%     157.979ms       2.378us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         66443  
                                       aten::as_strided         0.09%      13.863ms         0.09%      13.863ms       0.148us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         93456  
                                            aten::stack         0.26%      40.207ms         0.77%     120.287ms     255.386us       0.000us         0.00%     824.000us       1.749us      41.67 Mb           0 b      68.50 Kb           0 b           471  
                                              aten::cat         0.27%      42.797ms         0.31%      48.508ms     102.989us     823.000us         0.00%     824.000us       1.749us      41.67 Mb      41.67 Mb      68.50 Kb      68.50 Kb           471  
                                           aten::narrow         0.01%       1.829ms         0.02%       3.753ms      11.237us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           334  
                                            aten::slice         0.04%       6.957ms         0.05%       7.755ms       8.232us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           942  
                                        aten::unsqueeze         0.19%      29.790ms         0.21%      32.220ms       1.407us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b         22894  
                                       aten::pin_memory         0.02%       2.450ms         0.13%      20.021ms      59.943us       0.000us         0.00%      11.000us       0.033us           0 b           0 b           0 b           0 b           334  
                                        aten::is_pinned         0.03%       4.429ms         0.04%       6.609ms      19.787us       0.000us         0.00%      11.000us       0.033us           0 b           0 b           0 b           0 b           334  
                               cudaPointerGetAttributes         0.01%       2.182ms         0.01%       2.182ms       6.533us      11.000us         0.00%      11.000us       0.033us           0 b           0 b           0 b           0 b           334  
                                      aten::_pin_memory         0.02%       3.677ms         0.08%      11.765ms      35.225us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           334  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       4.778ms         0.02%       4.778ms      14.305us           0 b           0 b           0 b           0 b           334  
                     Optimizer.zero_grad#Adam.zero_grad         0.06%       9.399ms         0.06%       9.399ms      68.606us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -17.60 Gb     -17.60 Gb           137  
                                        aten::embedding         0.03%       4.797ms         0.13%      20.313ms     121.635us       0.000us         0.00%      18.030ms     107.964us           0 b           0 b       5.19 Gb           0 b           167  
                                          aten::reshape         0.01%       1.801ms         0.01%       2.245ms      13.443us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                   aten::_reshape_alias         0.00%     444.000us         0.00%     444.000us       2.659us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                     aten::index_select         0.04%       5.702ms         0.08%      12.883ms      77.144us      18.024ms         0.09%      18.030ms     107.964us           0 b           0 b       5.19 Gb           0 b           167  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      18.024ms         0.09%      18.024ms     107.928us           0 b           0 b           0 b           0 b           167  
                                             aten::lstm         0.12%      18.882ms         9.48%        1.475s       8.832ms       0.000us         0.00%        8.139s      48.734ms           0 b           0 b     104.80 Gb           0 b           167  
                              aten::cudnn_is_acceptable         0.00%     353.000us         0.00%     353.000us       2.114us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                               cudaStreamGetCaptureInfo         0.01%       1.355ms         0.01%       1.355ms       4.057us      25.000us         0.00%      25.000us       0.075us           0 b           0 b           0 b           0 b           334  
                                    cudaStreamWaitEvent         0.06%       9.751ms         0.06%       9.751ms       0.082us        1.621s         7.74%        1.621s      13.567us           0 b           0 b           0 b           0 b        119489  
                                       aten::_cudnn_rnn         4.20%     654.157ms         9.32%        1.450s       8.681ms        6.309s        30.14%        8.138s      48.732ms           0 b           0 b     104.80 Gb     -60.77 Gb           167  
                                        aten::transpose         0.04%       5.494ms         0.05%       7.150ms       4.563us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1567  
                                       aten::contiguous         0.02%       3.825ms         0.25%      38.676ms      54.092us       0.000us         0.00%      66.913ms      93.585us           0 b           0 b      26.55 Gb       2.00 Gb           715  
                                            aten::clone         0.03%       4.686ms         0.23%      36.466ms      51.001us       0.000us         0.00%      70.332ms      98.366us           0 b           0 b      26.55 Gb    -576.00 Mb           715  
                                       aten::empty_like         0.06%       9.681ms         0.17%      25.844ms      10.587us       0.000us         0.00%       0.000us       0.000us      20.75 Kb       4.91 Kb      27.12 Gb     585.00 Mb          2441  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      73.663ms         0.35%      73.663ms      72.289us           0 b           0 b           0 b           0 b          1019  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.06%       9.350ms         0.06%       9.350ms       0.104us        1.002s         4.78%        1.002s      11.152us           0 b           0 b           0 b           0 b         89811  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.396s         6.67%        1.396s     523.905us           0 b           0 b           0 b           0 b          2664  
                        volta_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        3.432s        16.40%        3.432s      40.627us           0 b           0 b           0 b           0 b         84480  
void elemWiseRNNcell<float, float, float, (cudnnRNNM...         0.00%       0.000us         0.00%       0.000us       0.000us        1.388s         6.63%        1.388s      16.235us           0 b           0 b           0 b           0 b         85504  
void cudnn::dropout_generate_mask<4>(float, curandSt...         0.00%       0.000us         0.00%       0.000us       0.000us      19.730ms         0.09%      19.730ms     144.015us           0 b           0 b           0 b           0 b           137  
void cudnn::dropout_apply_mask<float, float, 4>(floa...         0.00%       0.000us         0.00%       0.000us       0.000us     344.578ms         1.65%     344.578ms      18.422us           0 b           0 b           0 b           0 b         18705  
                                       aten::transpose_         0.02%       3.367ms         0.04%       5.732ms      18.855us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
                                      aten::as_strided_         0.02%       2.365ms         0.02%       2.365ms       7.780us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
                                          aten::dropout         0.01%     882.000us         0.08%      12.216ms      73.150us       0.000us         0.00%       1.053ms       6.305us           0 b           0 b      42.72 Mb           0 b           167  
                                   aten::native_dropout         0.03%       5.046ms         0.07%      11.334ms      82.730us     861.000us         0.00%       1.053ms       7.686us           0 b           0 b      42.72 Mb      -2.25 Mb           137  
                                           aten::linear         0.01%       1.712ms         0.17%      25.831ms     154.677us       0.000us         0.00%       2.400ms      14.371us           0 b           0 b      83.50 Kb           0 b           167  
                                                aten::t         0.03%       3.972ms         0.04%       6.774ms       9.474us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           715  
                                            aten::addmm         0.09%      14.664ms         0.14%      21.823ms     130.677us       1.510ms         0.01%       2.400ms      14.371us           0 b           0 b      83.50 Kb      83.50 Kb           167  
                                           aten::expand         0.02%       2.551ms         0.02%       3.279ms       6.962us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           471  
                                          aten::sigmoid         0.03%       4.334ms         0.04%       6.139ms      36.760us     671.000us         0.00%     676.000us       4.048us           0 b           0 b      83.50 Kb      83.50 Kb           167  
                                               aten::gt         0.03%       4.745ms         0.04%       6.585ms      39.431us     568.000us         0.00%     577.000us       3.455us           0 b           0 b      83.50 Kb      83.50 Kb           167  
                                           aten::unbind         0.23%      35.568ms         0.44%      67.765ms     405.778us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                               aten::eq         1.63%     253.331ms         2.57%     400.309ms      18.691us      52.144ms         0.25%     255.199ms      11.916us           0 b           0 b      10.46 Mb      10.46 Mb         21417  
                                       aten::is_nonzero         0.41%      63.323ms        23.32%        3.629s     170.776us       0.000us         0.00%     563.336ms      26.510us           0 b           0 b           0 b           0 b         21250  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us     861.000us         0.00%     861.000us       6.285us           0 b           0 b           0 b           0 b           137  
void gemv2T_kernel_val<int, int, float, float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     953.000us         0.00%     953.000us       5.741us           0 b           0 b           0 b           0 b           166  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     671.000us         0.00%     671.000us       4.018us           0 b           0 b           0 b           0 b           167  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     568.000us         0.00%     568.000us       3.401us           0 b           0 b           0 b           0 b           167  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      14.923ms         0.07%      14.923ms       2.809us           0 b           0 b           0 b           0 b          5313  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us     117.208ms         0.56%     117.208ms       5.361us           0 b           0 b           0 b           0 b         21862  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.174ms         0.12%      24.174ms       2.275us           0 b           0 b           0 b           0 b         10625  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.474ms         0.06%      12.474ms       2.348us           0 b           0 b           0 b           0 b          5312  
                                       aten::lift_fresh         0.00%      28.000us         0.00%      28.000us       0.157us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           178  
                                          aten::detach_         0.00%     644.000us         0.01%     895.000us       5.028us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           178  
                                                detach_         0.00%     255.000us         0.00%     255.000us       1.433us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           178  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     573.000us         0.00%     573.000us       3.431us           0 b           0 b           0 b           0 b           167  
                                        aten::expand_as         0.01%       1.414ms         0.02%       3.735ms      12.286us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
                                             aten::mean         0.05%       7.941ms         0.11%      17.044ms      47.876us       1.050ms         0.01%       1.064ms       2.989us         780 b         224 b      88.50 Kb      88.50 Kb           356  
                                              aten::sum         0.04%       6.140ms         0.05%       7.880ms      25.921us     851.000us         0.00%     868.000us       2.855us           0 b           0 b      68.50 Kb      68.50 Kb           304  
                                             aten::div_         0.04%       5.458ms         0.06%       8.611ms      28.326us     413.000us         0.00%     423.000us       1.391us         592 b        -144 b           0 b           0 b           304  
                                          aten::squeeze         0.02%       3.374ms         0.02%       3.580ms       5.359us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           668  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     683.000us         0.00%     683.000us       4.090us           0 b           0 b           0 b           0 b           167  
                             aten::binary_cross_entropy         0.04%       6.380ms         0.14%      21.847ms     130.820us     789.000us         0.00%       2.382ms      14.263us           0 b           0 b      83.50 Kb     -89.00 Kb           167  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     789.000us         0.00%     789.000us       4.725us           0 b           0 b           0 b           0 b           167  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
