Optimized Model 2 (Structured) - Profile Train (num_workers=0, batch_size=128, structured pruning)

Time:
===============
Overall Time: 123.48534356300024s
	Total train Time: 14.698042675000579s
	Total validation Time: 2.1035821969999233s
	Total test Time: 0.9652310510000461s
	Train Time per epoch: 14.698042675000579s
	Validation per epoch: 2.1035821969999233s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     Optimizer.zero_grad#Adam.zero_grad         0.06%       9.551ms         0.06%       9.551ms      69.715us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -19.46 Gb     -19.46 Gb           137  
                                              aten::mul         0.24%      37.839ms         0.40%      62.478ms      31.860us     155.032ms         0.73%     155.257ms      79.172us           0 b           0 b      39.33 Gb      39.33 Gb          1961  
                                       cudaLaunchKernel        13.63%        2.110s        13.63%        2.110s       4.293us        3.264s        15.40%        3.264s       6.643us           0 b           0 b           0 b           0 b        491388  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     154.621ms         0.73%     154.621ms      84.770us           0 b           0 b           0 b           0 b          1824  
                                        aten::embedding         0.02%       3.548ms         0.11%      16.262ms      97.377us       0.000us         0.00%      18.256ms     109.317us           0 b           0 b       5.19 Gb           0 b           167  
                                          aten::reshape         0.01%       1.516ms         0.01%       1.857ms      11.120us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                   aten::_reshape_alias         0.00%     341.000us         0.00%     341.000us       2.042us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                                     aten::index_select         0.03%       4.562ms         0.07%      10.544ms      63.138us      18.220ms         0.09%      18.256ms     109.317us           0 b           0 b       5.19 Gb           0 b           167  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us      18.220ms         0.09%      18.220ms     109.102us           0 b           0 b           0 b           0 b           167  
                    aten::_use_cudnn_rnn_flatten_weight         0.00%     198.000us         0.00%     198.000us       1.186us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                        aten::_cudnn_rnn_flatten_weight         0.19%      28.908ms         0.51%      78.437ms     469.683us       0.000us         0.00%     111.500ms     667.665us           0 b           0 b      -2.27 Gb    -164.27 Mb           167  
                                  cudaStreamIsCapturing         0.01%       1.113ms         0.01%       1.113ms       1.061us     845.000us         0.00%     845.000us       0.806us           0 b           0 b           0 b           0 b          1049  
                                  cudaStreamGetPriority         0.00%     159.000us         0.00%     159.000us       0.205us     389.000us         0.00%     389.000us       0.502us           0 b           0 b           0 b           0 b           775  
                       cudaDeviceGetStreamPriorityRange         0.00%     163.000us         0.00%     163.000us       0.210us      55.000us         0.00%      55.000us       0.071us           0 b           0 b           0 b           0 b           775  
                                            aten::zeros         0.05%       7.781ms         0.32%      49.624ms      37.509us       0.000us         0.00%      46.445ms      35.106us           0 b           0 b      37.30 Gb           0 b          1323  
                                            aten::zero_         0.04%       5.961ms         0.24%      37.240ms      23.002us       0.000us         0.00%      49.998ms      30.882us           0 b           0 b           0 b           0 b          1619  
                                            aten::fill_         0.10%      15.495ms         0.22%      33.789ms      17.571us      49.613ms         0.23%      50.418ms      26.218us           0 b           0 b           0 b           0 b          1923  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      49.613ms         0.23%      49.613ms      28.253us           0 b           0 b           0 b           0 b          1756  
                                          aten::view_as         0.03%       4.752ms         0.03%       5.393ms       2.018us       0.000us         0.00%       0.000us       0.000us           0 b           0 b     -24.00 Mb     -24.00 Mb          2672  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      35.317ms         0.17%      35.317ms      19.875us           0 b           0 b           0 b           0 b          1777  
                                             aten::lstm         0.07%      10.999ms         8.77%        1.358s       8.131ms       0.000us         0.00%        8.049s      48.196ms           0 b           0 b     104.80 Gb           0 b           167  
                              aten::cudnn_is_acceptable         0.00%     258.000us         0.00%     258.000us       1.545us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           167  
                               cudaStreamGetCaptureInfo         0.01%       1.322ms         0.01%       1.322ms       3.958us     457.000us         0.00%     457.000us       1.368us           0 b           0 b           0 b           0 b           334  
                                    cudaStreamWaitEvent         0.14%      21.471ms         0.14%      21.471ms       0.180us        2.317s        10.94%        2.317s      19.395us           0 b           0 b           0 b           0 b        119489  
                                       aten::_cudnn_rnn         3.87%     598.802ms         8.67%        1.342s       8.037ms        6.251s        29.50%        8.048s      48.193ms           0 b           0 b     104.80 Gb     -60.77 Gb           167  
                                        aten::transpose         0.03%       4.019ms         0.03%       5.257ms       3.355us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1567  
                                       aten::contiguous         0.02%       2.708ms         0.18%      27.807ms      38.891us       0.000us         0.00%      66.866ms      93.519us           0 b           0 b      26.55 Gb       2.06 Gb           715  
                                            aten::clone         0.03%       4.178ms         0.17%      26.340ms      36.839us       0.000us         0.00%      69.667ms      97.436us           0 b           0 b      26.55 Gb    -864.00 Mb           715  
                                       aten::empty_like         0.05%       7.611ms         0.13%      20.857ms       8.544us       0.000us         0.00%       0.000us       0.000us      20.38 Kb       1.66 Kb      27.12 Gb     871.26 Mb          2441  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      73.612ms         0.35%      73.612ms      72.239us           0 b           0 b           0 b           0 b          1019  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.05%       7.516ms         0.05%       7.516ms       0.084us     418.953ms         1.98%     418.953ms       4.665us           0 b           0 b           0 b           0 b         89811  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.394s         6.58%        1.394s     523.388us           0 b           0 b           0 b           0 b          2664  
